Syl_w_Sil,Pat_Temp
"('J', 0, 'K', 0, 'L', 1, 'D', 3, 'E', 2, 'F', 0, 'A', 0, 'B', 0, 'C', 1, 'G', 3, 'H', 2, 'I', 0)","[1, 1, 2, 4, 3, 1, 1, 1, 2, 4, 3, 1]"
"('A', 0, 'B', 0, 'C', 1, 'D', 2, 'E', 0, 'F', 3, 'G', 0, 'H', 0, 'I', 1, 'J', 2, 'K', 0, 'L', 3)","[1, 1, 2, 3, 1, 4, 1, 1, 2, 3, 1, 4]"
"('D', 3, 'E', 0, 'F', 0, 'J', 0, 'K', 0, 'L', 3, 'A', 3, 'B', 0, 'C', 0, 'G', 0, 'H', 0, 'I', 3)","[4, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 4]"
"('A', 2, 'B', 0, 'C', 2, 'G', 0, 'H', 1, 'I', 1, 'J', 2, 'K', 0, 'L', 2, 'D', 0, 'E', 1, 'F', 1)","[3, 1, 3, 1, 2, 2, 3, 1, 3, 1, 2, 2]"
"('G', 3, 'H', 0, 'I', 0, 'A', 1, 'B', 0, 'C', 2, 'J', 3, 'K', 0, 'L', 0, 'D', 1, 'E', 0, 'F', 2)","[4, 1, 1, 2, 1, 3, 4, 1, 1, 2, 1, 3]"
"('A', 0, 'B', 1, 'C', 0, 'D', 3, 'E', 0, 'F', 2, 'G', 0, 'H', 1, 'I', 0, 'J', 3, 'K', 0, 'L', 2)","[1, 2, 1, 4, 1, 3, 1, 2, 1, 4, 1, 3]"
"('D', 3, 'E', 1, 'F', 0, 'A', 0, 'B', 2, 'C', 0, 'J', 3, 'K', 1, 'L', 0, 'G', 0, 'H', 2, 'I', 0)","[4, 2, 1, 1, 3, 1, 4, 2, 1, 1, 3, 1]"
"('A', 0, 'B', 2, 'C', 0, 'D', 2, 'E', 2, 'F', 0, 'J', 0, 'K', 2, 'L', 0, 'G', 2, 'H', 2, 'I', 0)","[1, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 1]"
"('J', 0, 'K', 1, 'L', 0, 'D', 3, 'E', 1, 'F', 1, 'G', 0, 'H', 1, 'I', 0, 'A', 3, 'B', 1, 'C', 1)","[1, 2, 1, 4, 2, 2, 1, 2, 1, 4, 2, 2]"
"('G', 1, 'H', 1, 'I', 2, 'D', 0, 'E', 0, 'F', 2, 'A', 1, 'B', 1, 'C', 2, 'J', 0, 'K', 0, 'L', 2)","[2, 2, 3, 1, 1, 3, 2, 2, 3, 1, 1, 3]"
"('D', 0, 'E', 2, 'F', 1, 'J', 1, 'K', 0, 'L', 2, 'G', 0, 'H', 2, 'I', 1, 'A', 1, 'B', 0, 'C', 2)","[1, 3, 2, 2, 1, 3, 1, 3, 2, 2, 1, 3]"
"('A', 2, 'B', 0, 'C', 3, 'G', 1, 'H', 0, 'I', 0, 'D', 2, 'E', 0, 'F', 3, 'J', 1, 'K', 0, 'L', 0)","[3, 1, 4, 2, 1, 1, 3, 1, 4, 2, 1, 1]"
"('J', 0, 'K', 2, 'L', 1, 'D', 1, 'E', 2, 'F', 0, 'G', 0, 'H', 2, 'I', 1, 'A', 1, 'B', 2, 'C', 0)","[1, 3, 2, 2, 3, 1, 1, 3, 2, 2, 3, 1]"
"('D', 3, 'E', 1, 'F', 1, 'A', 1, 'B', 0, 'C', 0, 'G', 3, 'H', 1, 'I', 1, 'J', 1, 'K', 0, 'L', 0)","[4, 2, 2, 2, 1, 1, 4, 2, 2, 2, 1, 1]"
"('D', 0, 'E', 2, 'F', 1, 'G', 1, 'H', 1, 'I', 1, 'A', 0, 'B', 2, 'C', 1, 'J', 1, 'K', 1, 'L', 1)","[1, 3, 2, 2, 2, 2, 1, 3, 2, 2, 2, 2]"
"('G', 3, 'H', 1, 'I', 1, 'J', 1, 'K', 0, 'L', 0, 'A', 3, 'B', 1, 'C', 1, 'D', 1, 'E', 0, 'F', 0)","[4, 2, 2, 2, 1, 1, 4, 2, 2, 2, 1, 1]"
"('G', 0, 'H', 1, 'I', 0, 'A', 2, 'B', 0, 'C', 3, 'J', 0, 'K', 1, 'L', 0, 'D', 2, 'E', 0, 'F', 3)","[1, 2, 1, 3, 1, 4, 1, 2, 1, 3, 1, 4]"
"('G', 0, 'H', 2, 'I', 0, 'D', 2, 'E', 0, 'F', 2, 'A', 0, 'B', 2, 'C', 0, 'J', 2, 'K', 0, 'L', 2)","[1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3]"
"('D', 1, 'E', 1, 'F', 0, 'A', 2, 'B', 1, 'C', 1, 'J', 1, 'K', 1, 'L', 0, 'G', 2, 'H', 1, 'I', 1)","[2, 2, 1, 3, 2, 2, 2, 2, 1, 3, 2, 2]"
"('D', 2, 'E', 0, 'F', 1, 'G', 0, 'H', 0, 'I', 3, 'A', 2, 'B', 0, 'C', 1, 'J', 0, 'K', 0, 'L', 3)","[3, 1, 2, 1, 1, 4, 3, 1, 2, 1, 1, 4]"
"('D', 0, 'E', 1, 'F', 0, 'A', 3, 'B', 0, 'C', 2, 'G', 0, 'H', 1, 'I', 0, 'J', 3, 'K', 0, 'L', 2)","[1, 2, 1, 4, 1, 3, 1, 2, 1, 4, 1, 3]"
"('A', 1, 'B', 0, 'C', 0, 'G', 3, 'H', 2, 'I', 0, 'D', 1, 'E', 0, 'F', 0, 'J', 3, 'K', 2, 'L', 0)","[2, 1, 1, 4, 3, 1, 2, 1, 1, 4, 3, 1]"
"('G', 2, 'H', 0, 'I', 1, 'A', 0, 'B', 0, 'C', 3, 'D', 2, 'E', 0, 'F', 1, 'J', 0, 'K', 0, 'L', 3)","[3, 1, 2, 1, 1, 4, 3, 1, 2, 1, 1, 4]"
"('D', 1, 'E', 1, 'F', 2, 'A', 0, 'B', 2, 'C', 0, 'G', 1, 'H', 1, 'I', 2, 'J', 0, 'K', 2, 'L', 0)","[2, 2, 3, 1, 3, 1, 2, 2, 3, 1, 3, 1]"
"('J', 3, 'K', 0, 'L', 2, 'A', 0, 'B', 0, 'C', 1, 'D', 3, 'E', 0, 'F', 2, 'G', 0, 'H', 0, 'I', 1)","[4, 1, 3, 1, 1, 2, 4, 1, 3, 1, 1, 2]"
"('A', 1, 'B', 0, 'C', 0, 'J', 3, 'K', 2, 'L', 0, 'G', 1, 'H', 0, 'I', 0, 'D', 3, 'E', 2, 'F', 0)","[2, 1, 1, 4, 3, 1, 2, 1, 1, 4, 3, 1]"
"('D', 1, 'E', 0, 'F', 0, 'A', 1, 'B', 1, 'C', 3, 'J', 1, 'K', 0, 'L', 0, 'G', 1, 'H', 1, 'I', 3)","[2, 1, 1, 2, 2, 4, 2, 1, 1, 2, 2, 4]"
"('D', 0, 'E', 2, 'F', 0, 'G', 1, 'H', 0, 'I', 3, 'J', 0, 'K', 2, 'L', 0, 'A', 1, 'B', 0, 'C', 3)","[1, 3, 1, 2, 1, 4, 1, 3, 1, 2, 1, 4]"
"('G', 3, 'H', 2, 'I', 0, 'J', 0, 'K', 0, 'L', 1, 'A', 3, 'B', 2, 'C', 0, 'D', 0, 'E', 0, 'F', 1)","[4, 3, 1, 1, 1, 2, 4, 3, 1, 1, 1, 2]"
"('G', 0, 'H', 2, 'I', 3, 'D', 0, 'E', 1, 'F', 0, 'J', 0, 'K', 2, 'L', 3, 'A', 0, 'B', 1, 'C', 0)","[1, 3, 4, 1, 2, 1, 1, 3, 4, 1, 2, 1]"
"('J', 0, 'K', 2, 'L', 0, 'D', 2, 'E', 0, 'F', 2, 'A', 0, 'B', 2, 'C', 0, 'G', 2, 'H', 0, 'I', 2)","[1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3]"
"('A', 2, 'B', 0, 'C', 0, 'J', 2, 'K', 1, 'L', 1, 'D', 2, 'E', 0, 'F', 0, 'G', 2, 'H', 1, 'I', 1)","[3, 1, 1, 3, 2, 2, 3, 1, 1, 3, 2, 2]"
"('J', 0, 'K', 2, 'L', 2, 'D', 0, 'E', 2, 'F', 0, 'G', 0, 'H', 2, 'I', 2, 'A', 0, 'B', 2, 'C', 0)","[1, 3, 3, 1, 3, 1, 1, 3, 3, 1, 3, 1]"
"('G', 3, 'H', 0, 'I', 0, 'J', 0, 'K', 0, 'L', 3, 'A', 3, 'B', 0, 'C', 0, 'D', 0, 'E', 0, 'F', 3)","[4, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 4]"
"('G', 0, 'H', 0, 'I', 1, 'D', 3, 'E', 1, 'F', 1, 'J', 0, 'K', 0, 'L', 1, 'A', 3, 'B', 1, 'C', 1)","[1, 1, 2, 4, 2, 2, 1, 1, 2, 4, 2, 2]"
"('D', 0, 'E', 0, 'F', 0, 'G', 0, 'H', 3, 'I', 3, 'J', 0, 'K', 0, 'L', 0, 'A', 0, 'B', 3, 'C', 3)","[1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 4, 4]"
"('A', 0, 'B', 0, 'C', 1, 'J', 0, 'K', 2, 'L', 3, 'D', 0, 'E', 0, 'F', 1, 'G', 0, 'H', 2, 'I', 3)","[1, 1, 2, 1, 3, 4, 1, 1, 2, 1, 3, 4]"
"('G', 2, 'H', 0, 'I', 2, 'A', 0, 'B', 2, 'C', 0, 'J', 2, 'K', 0, 'L', 2, 'D', 0, 'E', 2, 'F', 0)","[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1]"
"('G', 1, 'H', 1, 'I', 0, 'J', 1, 'K', 0, 'L', 3, 'D', 1, 'E', 1, 'F', 0, 'A', 1, 'B', 0, 'C', 3)","[2, 2, 1, 2, 1, 4, 2, 2, 1, 2, 1, 4]"
"('G', 0, 'H', 2, 'I', 0, 'D', 2, 'E', 2, 'F', 0, 'A', 0, 'B', 2, 'C', 0, 'J', 2, 'K', 2, 'L', 0)","[1, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 1]"
"('J', 2, 'K', 0, 'L', 1, 'A', 1, 'B', 0, 'C', 2, 'D', 2, 'E', 0, 'F', 1, 'G', 1, 'H', 0, 'I', 2)","[3, 1, 2, 2, 1, 3, 3, 1, 2, 2, 1, 3]"
"('G', 3, 'H', 0, 'I', 0, 'A', 1, 'B', 0, 'C', 2, 'D', 3, 'E', 0, 'F', 0, 'J', 1, 'K', 0, 'L', 2)","[4, 1, 1, 2, 1, 3, 4, 1, 1, 2, 1, 3]"
"('J', 1, 'K', 0, 'L', 0, 'A', 2, 'B', 0, 'C', 3, 'G', 1, 'H', 0, 'I', 0, 'D', 2, 'E', 0, 'F', 3)","[2, 1, 1, 3, 1, 4, 2, 1, 1, 3, 1, 4]"
"('D', 0, 'E', 2, 'F', 0, 'A', 2, 'B', 2, 'C', 0, 'G', 0, 'H', 2, 'I', 0, 'J', 2, 'K', 2, 'L', 0)","[1, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 1]"
"('A', 1, 'B', 1, 'C', 0, 'D', 1, 'E', 0, 'F', 3, 'J', 1, 'K', 1, 'L', 0, 'G', 1, 'H', 0, 'I', 3)","[2, 2, 1, 2, 1, 4, 2, 2, 1, 2, 1, 4]"
"('D', 3, 'E', 1, 'F', 0, 'G', 0, 'H', 0, 'I', 2, 'A', 3, 'B', 1, 'C', 0, 'J', 0, 'K', 0, 'L', 2)","[4, 2, 1, 1, 1, 3, 4, 2, 1, 1, 1, 3]"
"('D', 0, 'E', 2, 'F', 1, 'A', 1, 'B', 2, 'C', 0, 'G', 0, 'H', 2, 'I', 1, 'J', 1, 'K', 2, 'L', 0)","[1, 3, 2, 2, 3, 1, 1, 3, 2, 2, 3, 1]"
"('G', 2, 'H', 0, 'I', 0, 'J', 1, 'K', 0, 'L', 3, 'D', 2, 'E', 0, 'F', 0, 'A', 1, 'B', 0, 'C', 3)","[3, 1, 1, 2, 1, 4, 3, 1, 1, 2, 1, 4]"
"('G', 0, 'H', 2, 'I', 3, 'D', 1, 'E', 0, 'F', 0, 'A', 0, 'B', 2, 'C', 3, 'J', 1, 'K', 0, 'L', 0)","[1, 3, 4, 2, 1, 1, 1, 3, 4, 2, 1, 1]"
"('J', 2, 'K', 0, 'L', 0, 'D', 1, 'E', 0, 'F', 3, 'A', 2, 'B', 0, 'C', 0, 'G', 1, 'H', 0, 'I', 3)","[3, 1, 1, 2, 1, 4, 3, 1, 1, 2, 1, 4]"
"('D', 3, 'E', 0, 'F', 0, 'G', 1, 'H', 1, 'I', 1, 'J', 3, 'K', 0, 'L', 0, 'A', 1, 'B', 1, 'C', 1)","[4, 1, 1, 2, 2, 2, 4, 1, 1, 2, 2, 2]"
"('J', 3, 'K', 0, 'L', 0, 'D', 1, 'E', 2, 'F', 0, 'A', 3, 'B', 0, 'C', 0, 'G', 1, 'H', 2, 'I', 0)","[4, 1, 1, 2, 3, 1, 4, 1, 1, 2, 3, 1]"
"('J', 0, 'K', 0, 'L', 1, 'A', 1, 'B', 1, 'C', 3, 'G', 0, 'H', 0, 'I', 1, 'D', 1, 'E', 1, 'F', 3)","[1, 1, 2, 2, 2, 4, 1, 1, 2, 2, 2, 4]"
"('G', 3, 'H', 0, 'I', 2, 'D', 1, 'E', 0, 'F', 0, 'A', 3, 'B', 0, 'C', 2, 'J', 1, 'K', 0, 'L', 0)","[4, 1, 3, 2, 1, 1, 4, 1, 3, 2, 1, 1]"
"('G', 1, 'H', 0, 'I', 0, 'D', 3, 'E', 1, 'F', 1, 'J', 1, 'K', 0, 'L', 0, 'A', 3, 'B', 1, 'C', 1)","[2, 1, 1, 4, 2, 2, 2, 1, 1, 4, 2, 2]"
"('G', 0, 'H', 2, 'I', 0, 'J', 1, 'K', 0, 'L', 3, 'D', 0, 'E', 2, 'F', 0, 'A', 1, 'B', 0, 'C', 3)","[1, 3, 1, 2, 1, 4, 1, 3, 1, 2, 1, 4]"
"('J', 3, 'K', 2, 'L', 0, 'G', 1, 'H', 0, 'I', 0, 'A', 3, 'B', 2, 'C', 0, 'D', 1, 'E', 0, 'F', 0)","[4, 3, 1, 2, 1, 1, 4, 3, 1, 2, 1, 1]"
"('A', 0, 'B', 1, 'C', 0, 'D', 1, 'E', 1, 'F', 3, 'G', 0, 'H', 1, 'I', 0, 'J', 1, 'K', 1, 'L', 3)","[1, 2, 1, 2, 2, 4, 1, 2, 1, 2, 2, 4]"
"('J', 0, 'K', 0, 'L', 1, 'A', 3, 'B', 2, 'C', 0, 'G', 0, 'H', 0, 'I', 1, 'D', 3, 'E', 2, 'F', 0)","[1, 1, 2, 4, 3, 1, 1, 1, 2, 4, 3, 1]"
"('J', 3, 'K', 0, 'L', 0, 'D', 0, 'E', 0, 'F', 3, 'G', 3, 'H', 0, 'I', 0, 'A', 0, 'B', 0, 'C', 3)","[4, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 4]"
"('J', 0, 'K', 2, 'L', 2, 'G', 0, 'H', 0, 'I', 2, 'D', 0, 'E', 2, 'F', 2, 'A', 0, 'B', 0, 'C', 2)","[1, 3, 3, 1, 1, 3, 1, 3, 3, 1, 1, 3]"
"('A', 0, 'B', 0, 'C', 1, 'G', 2, 'H', 0, 'I', 3, 'J', 0, 'K', 0, 'L', 1, 'D', 2, 'E', 0, 'F', 3)","[1, 1, 2, 3, 1, 4, 1, 1, 2, 3, 1, 4]"
"('J', 0, 'K', 2, 'L', 3, 'A', 0, 'B', 0, 'C', 1, 'D', 0, 'E', 2, 'F', 3, 'G', 0, 'H', 0, 'I', 1)","[1, 3, 4, 1, 1, 2, 1, 3, 4, 1, 1, 2]"
"('A', 2, 'B', 0, 'C', 1, 'J', 1, 'K', 1, 'L', 1, 'D', 2, 'E', 0, 'F', 1, 'G', 1, 'H', 1, 'I', 1)","[3, 1, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2]"
"('D', 0, 'E', 1, 'F', 0, 'A', 0, 'B', 2, 'C', 3, 'J', 0, 'K', 1, 'L', 0, 'G', 0, 'H', 2, 'I', 3)","[1, 2, 1, 1, 3, 4, 1, 2, 1, 1, 3, 4]"
"('G', 3, 'H', 2, 'I', 0, 'D', 0, 'E', 1, 'F', 0, 'J', 3, 'K', 2, 'L', 0, 'A', 0, 'B', 1, 'C', 0)","[4, 3, 1, 1, 2, 1, 4, 3, 1, 1, 2, 1]"
"('J', 1, 'K', 1, 'L', 3, 'G', 0, 'H', 1, 'I', 0, 'D', 1, 'E', 1, 'F', 3, 'A', 0, 'B', 1, 'C', 0)","[2, 2, 4, 1, 2, 1, 2, 2, 4, 1, 2, 1]"
"('G', 1, 'H', 0, 'I', 0, 'A', 1, 'B', 1, 'C', 3, 'D', 1, 'E', 0, 'F', 0, 'J', 1, 'K', 1, 'L', 3)","[2, 1, 1, 2, 2, 4, 2, 1, 1, 2, 2, 4]"
"('G', 3, 'H', 1, 'I', 0, 'J', 0, 'K', 1, 'L', 1, 'A', 3, 'B', 1, 'C', 0, 'D', 0, 'E', 1, 'F', 1)","[4, 2, 1, 1, 2, 2, 4, 2, 1, 1, 2, 2]"
"('A', 3, 'B', 2, 'C', 0, 'J', 1, 'K', 0, 'L', 0, 'D', 3, 'E', 2, 'F', 0, 'G', 1, 'H', 0, 'I', 0)","[4, 3, 1, 2, 1, 1, 4, 3, 1, 2, 1, 1]"
"('G', 0, 'H', 0, 'I', 1, 'J', 3, 'K', 1, 'L', 1, 'A', 0, 'B', 0, 'C', 1, 'D', 3, 'E', 1, 'F', 1)","[1, 1, 2, 4, 2, 2, 1, 1, 2, 4, 2, 2]"
"('J', 0, 'K', 2, 'L', 1, 'G', 0, 'H', 0, 'I', 3, 'D', 0, 'E', 2, 'F', 1, 'A', 0, 'B', 0, 'C', 3)","[1, 3, 2, 1, 1, 4, 1, 3, 2, 1, 1, 4]"
"('J', 0, 'K', 2, 'L', 0, 'D', 0, 'E', 1, 'F', 3, 'A', 0, 'B', 2, 'C', 0, 'G', 0, 'H', 1, 'I', 3)","[1, 3, 1, 1, 2, 4, 1, 3, 1, 1, 2, 4]"
"('G', 0, 'H', 0, 'I', 1, 'A', 2, 'B', 0, 'C', 3, 'J', 0, 'K', 0, 'L', 1, 'D', 2, 'E', 0, 'F', 3)","[1, 1, 2, 3, 1, 4, 1, 1, 2, 3, 1, 4]"
"('J', 3, 'K', 1, 'L', 0, 'D', 0, 'E', 0, 'F', 2, 'A', 3, 'B', 1, 'C', 0, 'G', 0, 'H', 0, 'I', 2)","[4, 2, 1, 1, 1, 3, 4, 2, 1, 1, 1, 3]"
"('A', 1, 'B', 1, 'C', 0, 'J', 2, 'K', 2, 'L', 0, 'G', 1, 'H', 1, 'I', 0, 'D', 2, 'E', 2, 'F', 0)","[2, 2, 1, 3, 3, 1, 2, 2, 1, 3, 3, 1]"
"('G', 0, 'H', 0, 'I', 0, 'A', 0, 'B', 3, 'C', 3, 'J', 0, 'K', 0, 'L', 0, 'D', 0, 'E', 3, 'F', 3)","[1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 4, 4]"
"('D', 0, 'E', 0, 'F', 1, 'A', 3, 'B', 2, 'C', 0, 'G', 0, 'H', 0, 'I', 1, 'J', 3, 'K', 2, 'L', 0)","[1, 1, 2, 4, 3, 1, 1, 1, 2, 4, 3, 1]"
"('J', 3, 'K', 2, 'L', 0, 'A', 0, 'B', 0, 'C', 1, 'G', 3, 'H', 2, 'I', 0, 'D', 0, 'E', 0, 'F', 1)","[4, 3, 1, 1, 1, 2, 4, 3, 1, 1, 1, 2]"
"('A', 2, 'B', 0, 'C', 0, 'J', 2, 'K', 2, 'L', 0, 'G', 2, 'H', 0, 'I', 0, 'D', 2, 'E', 2, 'F', 0)","[3, 1, 1, 3, 3, 1, 3, 1, 1, 3, 3, 1]"
"('J', 2, 'K', 0, 'L', 2, 'A', 0, 'B', 2, 'C', 0, 'D', 2, 'E', 0, 'F', 2, 'G', 0, 'H', 2, 'I', 0)","[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1]"
"('G', 2, 'H', 0, 'I', 2, 'D', 0, 'E', 0, 'F', 2, 'J', 2, 'K', 0, 'L', 2, 'A', 0, 'B', 0, 'C', 2)","[3, 1, 3, 1, 1, 3, 3, 1, 3, 1, 1, 3]"
"('G', 0, 'H', 2, 'I', 0, 'J', 0, 'K', 1, 'L', 3, 'D', 0, 'E', 2, 'F', 0, 'A', 0, 'B', 1, 'C', 3)","[1, 3, 1, 1, 2, 4, 1, 3, 1, 1, 2, 4]"
"('G', 0, 'H', 2, 'I', 2, 'D', 0, 'E', 0, 'F', 2, 'A', 0, 'B', 2, 'C', 2, 'J', 0, 'K', 0, 'L', 2)","[1, 3, 3, 1, 1, 3, 1, 3, 3, 1, 1, 3]"
"('G', 2, 'H', 0, 'I', 1, 'A', 1, 'B', 0, 'C', 2, 'J', 2, 'K', 0, 'L', 1, 'D', 1, 'E', 0, 'F', 2)","[3, 1, 2, 2, 1, 3, 3, 1, 2, 2, 1, 3]"
"('G', 1, 'H', 1, 'I', 1, 'D', 1, 'E', 0, 'F', 2, 'J', 1, 'K', 1, 'L', 1, 'A', 1, 'B', 0, 'C', 2)","[2, 2, 2, 2, 1, 3, 2, 2, 2, 2, 1, 3]"
"('D', 0, 'E', 2, 'F', 0, 'A', 0, 'B', 1, 'C', 3, 'J', 0, 'K', 2, 'L', 0, 'G', 0, 'H', 1, 'I', 3)","[1, 3, 1, 1, 2, 4, 1, 3, 1, 1, 2, 4]"
"('J', 1, 'K', 1, 'L', 0, 'D', 1, 'E', 0, 'F', 3, 'A', 1, 'B', 1, 'C', 0, 'G', 1, 'H', 0, 'I', 3)","[2, 2, 1, 2, 1, 4, 2, 2, 1, 2, 1, 4]"
"('A', 0, 'B', 2, 'C', 0, 'G', 2, 'H', 1, 'I', 1, 'D', 0, 'E', 2, 'F', 0, 'J', 2, 'K', 1, 'L', 1)","[1, 3, 1, 3, 2, 2, 1, 3, 1, 3, 2, 2]"
"('G', 0, 'H', 1, 'I', 0, 'J', 0, 'K', 2, 'L', 3, 'A', 0, 'B', 1, 'C', 0, 'D', 0, 'E', 2, 'F', 3)","[1, 2, 1, 1, 3, 4, 1, 2, 1, 1, 3, 4]"
"('D', 0, 'E', 2, 'F', 0, 'J', 2, 'K', 1, 'L', 1, 'G', 0, 'H', 2, 'I', 0, 'A', 2, 'B', 1, 'C', 1)","[1, 3, 1, 3, 2, 2, 1, 3, 1, 3, 2, 2]"
"('A', 3, 'B', 0, 'C', 2, 'G', 1, 'H', 0, 'I', 0, 'J', 3, 'K', 0, 'L', 2, 'D', 1, 'E', 0, 'F', 0)","[4, 1, 3, 2, 1, 1, 4, 1, 3, 2, 1, 1]"
"('G', 3, 'H', 3, 'I', 0, 'D', 0, 'E', 0, 'F', 0, 'A', 3, 'B', 3, 'C', 0, 'J', 0, 'K', 0, 'L', 0)","[4, 4, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1]"
"('G', 2, 'H', 0, 'I', 1, 'D', 1, 'E', 1, 'F', 1, 'J', 2, 'K', 0, 'L', 1, 'A', 1, 'B', 1, 'C', 1)","[3, 1, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2]"
"('G', 1, 'H', 0, 'I', 0, 'A', 0, 'B', 2, 'C', 3, 'D', 1, 'E', 0, 'F', 0, 'J', 0, 'K', 2, 'L', 3)","[2, 1, 1, 1, 3, 4, 2, 1, 1, 1, 3, 4]"
"('J', 1, 'K', 1, 'L', 3, 'A', 0, 'B', 1, 'C', 0, 'G', 1, 'H', 1, 'I', 3, 'D', 0, 'E', 1, 'F', 0)","[2, 2, 4, 1, 2, 1, 2, 2, 4, 1, 2, 1]"
"('A', 3, 'B', 1, 'C', 1, 'G', 0, 'H', 1, 'I', 0, 'D', 3, 'E', 1, 'F', 1, 'J', 0, 'K', 1, 'L', 0)","[4, 2, 2, 1, 2, 1, 4, 2, 2, 1, 2, 1]"
"('G', 3, 'H', 0, 'I', 1, 'J', 0, 'K', 0, 'L', 2, 'D', 3, 'E', 0, 'F', 1, 'A', 0, 'B', 0, 'C', 2)","[4, 1, 2, 1, 1, 3, 4, 1, 2, 1, 1, 3]"
"('D', 1, 'E', 1, 'F', 2, 'G', 0, 'H', 0, 'I', 2, 'A', 1, 'B', 1, 'C', 2, 'J', 0, 'K', 0, 'L', 2)","[2, 2, 3, 1, 1, 3, 2, 2, 3, 1, 1, 3]"
"('D', 0, 'E', 0, 'F', 1, 'G', 3, 'H', 2, 'I', 0, 'J', 0, 'K', 0, 'L', 1, 'A', 3, 'B', 2, 'C', 0)","[1, 1, 2, 4, 3, 1, 1, 1, 2, 4, 3, 1]"
"('J', 2, 'K', 0, 'L', 0, 'A', 2, 'B', 0, 'C', 2, 'D', 2, 'E', 0, 'F', 0, 'G', 2, 'H', 0, 'I', 2)","[3, 1, 1, 3, 1, 3, 3, 1, 1, 3, 1, 3]"
"('A', 2, 'B', 0, 'C', 0, 'J', 0, 'K', 1, 'L', 3, 'G', 2, 'H', 0, 'I', 0, 'D', 0, 'E', 1, 'F', 3)","[3, 1, 1, 1, 2, 4, 3, 1, 1, 1, 2, 4]"
"('G', 2, 'H', 0, 'I', 1, 'D', 0, 'E', 0, 'F', 3, 'J', 2, 'K', 0, 'L', 1, 'A', 0, 'B', 0, 'C', 3)","[3, 1, 2, 1, 1, 4, 3, 1, 2, 1, 1, 4]"
"('J', 0, 'K', 2, 'L', 3, 'A', 0, 'B', 1, 'C', 0, 'D', 0, 'E', 2, 'F', 3, 'G', 0, 'H', 1, 'I', 0)","[1, 3, 4, 1, 2, 1, 1, 3, 4, 1, 2, 1]"
"('D', 0, 'E', 0, 'F', 1, 'A', 2, 'B', 0, 'C', 3, 'J', 0, 'K', 0, 'L', 1, 'G', 2, 'H', 0, 'I', 3)","[1, 1, 2, 3, 1, 4, 1, 1, 2, 3, 1, 4]"
"('A', 0, 'B', 1, 'C', 0, 'D', 3, 'E', 2, 'F', 0, 'G', 0, 'H', 1, 'I', 0, 'J', 3, 'K', 2, 'L', 0)","[1, 2, 1, 4, 3, 1, 1, 2, 1, 4, 3, 1]"
"('D', 3, 'E', 0, 'F', 0, 'J', 1, 'K', 0, 'L', 2, 'G', 3, 'H', 0, 'I', 0, 'A', 1, 'B', 0, 'C', 2)","[4, 1, 1, 2, 1, 3, 4, 1, 1, 2, 1, 3]"
"('D', 3, 'E', 1, 'F', 0, 'A', 0, 'B', 0, 'C', 2, 'G', 3, 'H', 1, 'I', 0, 'J', 0, 'K', 0, 'L', 2)","[4, 2, 1, 1, 1, 3, 4, 2, 1, 1, 1, 3]"
"('D', 0, 'E', 2, 'F', 1, 'G', 1, 'H', 0, 'I', 2, 'A', 0, 'B', 2, 'C', 1, 'J', 1, 'K', 0, 'L', 2)","[1, 3, 2, 2, 1, 3, 1, 3, 2, 2, 1, 3]"
"('A', 1, 'B', 1, 'C', 0, 'G', 2, 'H', 0, 'I', 2, 'D', 1, 'E', 1, 'F', 0, 'J', 2, 'K', 0, 'L', 2)","[2, 2, 1, 3, 1, 3, 2, 2, 1, 3, 1, 3]"
"('J', 0, 'K', 2, 'L', 1, 'G', 0, 'H', 0, 'I', 3, 'A', 0, 'B', 2, 'C', 1, 'D', 0, 'E', 0, 'F', 3)","[1, 3, 2, 1, 1, 4, 1, 3, 2, 1, 1, 4]"
"('A', 0, 'B', 2, 'C', 1, 'J', 1, 'K', 0, 'L', 2, 'D', 0, 'E', 2, 'F', 1, 'G', 1, 'H', 0, 'I', 2)","[1, 3, 2, 2, 1, 3, 1, 3, 2, 2, 1, 3]"
"('A', 1, 'B', 1, 'C', 0, 'J', 2, 'K', 0, 'L', 2, 'D', 1, 'E', 1, 'F', 0, 'G', 2, 'H', 0, 'I', 2)","[2, 2, 1, 3, 1, 3, 2, 2, 1, 3, 1, 3]"
